"Name","Country","OVA","ATT","MID","DEF","Transfer_Budget","Players"
"Olympique Lyonnais","France","79","78","81","78","€36.4M","31"
"AS Monaco","France","79","82","78","77","€50M","33"
"Olympique de Marseille","France","78","79","80","76","€21.2M","29"
"AS Saint-Étienne","France","76","76","77","75","€9.7M","32"
"LOSC Lille","France","76","75","76","75","€10.4M","28"
"Stade Rennais FC","France","75","77","75","75","€8.6M","31"
"OGC Nice","France","75","74","75","74","€8.6M","33"
"FC Nantes","France","75","73","75","74","€7M","32"
"Montpellier HSC","France","75","75","74","75","€6.8M","30"
"Angers SCO","France","74","72","74","74","€4.7M","29"
"Stade de Reims","France","74","73","73","73","€5.2M","29"
"FC Girondins de Bordeaux","France","74","75","73","74","€11.1M","32"
"RC Strasbourg Alsace","France","74","74","74","75","€5.4M","30"
"Nîmes Olympique","France","73","73","75","72","€4.1M","27"
"Toulouse Football Club","France","73","75","71","73","€7.2M","26"
"Amiens SC","France","73","73","73","73","€3.9M","29"
"En Avant de Guingamp","France","73","74","74","73","€5.2M","31"
"Stade Malherbe Caen","France","72","70","72","73","€5.7M","31"
"Dijon FCO","France","72","73","72","71","€4.1M","26"
