#,Player,Age,Market value at the time,Season,Nat.,Left,Joined,Fee
207,"Jean Michaël Seri",27,"30,00 Mill. €",18/19,,"OGC Nice
 Ligue 1","Fulham
 Premier League","30,00 Mill. €"
208,"Lucas Torreira",22,"30,00 Mill. €",18/19,,"Sampdoria
 Serie A","Arsenal
 Premier League","30,00 Mill. €"
209,"Aleksandr Golovin",22,"25,00 Mill. €",18/19,,"CSKA Moscow
 Premier Liga","Monaco
 Ligue 1","30,00 Mill. €"
210,"Álvaro Odriozola",22,"25,00 Mill. €",18/19,,"Real Sociedad
 LaLiga","Real Madrid
 LaLiga","30,00 Mill. €"
211,"Fabián Ruiz",22,"20,00 Mill. €",18/19,,"Real Betis
 LaLiga","SSC Napoli
 Serie A","30,00 Mill. €"
212,"Keita Baldé",22,"25,00 Mill. €",17/18,,"Lazio
 Serie A","Monaco
 Ligue 1","30,00 Mill. €"
213,"Danilo",26,"16,00 Mill. €",17/18,,"Real Madrid
 LaLiga","Man City
 Premier League","30,00 Mill. €"
214,"Álvaro Morata",23,"30,00 Mill. €",16/17,,"Juventus
 Serie A","Real Madrid
 LaLiga","30,00 Mill. €"
215,"Paco Alcácer",23,"25,00 Mill. €",16/17,,"Valencia
 LaLiga","FC Barcelona
 LaLiga","30,00 Mill. €"
216,"Kévin Gameiro",29,"20,00 Mill. €",16/17,,"Sevilla FC
 LaLiga","Atlético Madrid
 LaLiga","30,00 Mill. €"
217,"André Schürrle",25,"18,00 Mill. €",16/17,,"VfL Wolfsburg
 Bundesliga","Bor. Dortmund
 Bundesliga","30,00 Mill. €"
218,"Gonçalo Guedes",20,"9,00 Mill. €",16/17,,"Benfica
 Liga NOS","Paris SG
 Ligue 1","30,00 Mill. €"
219,"Carlos Bacca",28,"25,00 Mill. €",15/16,,"Sevilla FC
 LaLiga","AC Milan
 Serie A","30,00 Mill. €"
220,"Douglas Costa",24,"23,00 Mill. €",15/16,,"Shakhtar D.
 Premier Liga","Bayern Munich 
 Bundesliga","30,00 Mill. €"
221,"Rodrigo",24,"18,00 Mill. €",15/16,,"Benfica
 Liga NOS","Valencia
 LaLiga","30,00 Mill. €"
222,"Heung-min Son",23,"16,00 Mill. €",15/16,,"Bay. Leverkusen
 Bundesliga","Spurs
 Premier League","30,00 Mill. €"
223,"Antoine Griezmann",23,"30,00 Mill. €",14/15,,"Real Sociedad
 LaLiga","Atlético Madrid
 LaLiga","30,00 Mill. €"
224,"Roberto Soldado",28,"28,00 Mill. €",13/14,,"Valencia
 LaLiga","Spurs
 Premier League","30,00 Mill. €"
225,"Isco",21,"25,00 Mill. €",13/14,,"Málaga CF
 LaLiga","Real Madrid
 LaLiga","30,00 Mill. €"
226,"Erik Lamela",21,"23,00 Mill. €",13/14,,"AS Roma
 Serie A","Spurs
 Premier League","30,00 Mill. €"
227,"Ezequiel Lavezzi",27,"30,00 Mill. €",12/13,,"SSC Napoli
 Serie A","Paris SG
 Ligue 1","30,00 Mill. €"
228,"Manuel Neuer",25,"28,00 Mill. €",11/12,,"FC Schalke 04
 Bundesliga","Bayern Munich 
 Bundesliga","30,00 Mill. €"
229,"Fábio Coentrão",23,"24,00 Mill. €",11/12,,"Benfica
 Liga NOS","Real Madrid
 LaLiga","30,00 Mill. €"
230,"Yaya Touré",27,"18,00 Mill. €",10/11,,"FC Barcelona
 LaLiga","Man City
 Premier League","30,00 Mill. €"
231,"Mario Gómez",23,"30,00 Mill. €",09/10,,"VfB Stuttgart
 Bundesliga","Bayern Munich 
 Bundesliga","30,00 Mill. €"
232,"Danny",25,"7,75 Mill. €",08/09,,"Dinamo Moscow
 Premier Liga","Zenit S-Pb
 Premier Liga","30,00 Mill. €"
233,"Pepe",24,"30,00 Mill. €",07/08,,"FC Porto
 Liga NOS","Real Madrid
 LaLiga","30,00 Mill. €"
234,"Franck Ribéry",24,"23,00 Mill. €",07/08,,"Marseille
 Ligue 1","Bayern Munich 
 Bundesliga","30,00 Mill. €"
235,"Ricardo Carvalho",26,-,04/05,,"FC Porto
 Liga NOS","Chelsea
 Premier League","30,00 Mill. €"
236,"Naby Keïta",21,"11,00 Mill. €",16/17,,"RB Salzburg
 Bundesliga","RB Leipzig
 Bundesliga","29,75 Mill. €"
237,"Gabriel Barbosa",20,"20,00 Mill. €",16/17,,"Santos FC
 Série A","Inter
 Serie A","29,50 Mill. €"
238,"Mario Balotelli",20,"26,00 Mill. €",10/11,,"Inter
 Serie A","Man City
 Premier League","29,50 Mill. €"
239,"Dimitri Payet",29,"30,00 Mill. €",16/17,,"West Ham
 Premier League","Marseille
 Ligue 1","29,30 Mill. €"
240,"Anthony Modeste",30,"16,00 Mill. €",18/19,,"1. FC Köln
 2. Bundesliga","TJ Tianhai
 Super League","29,00 Mill. €"
241,"Carlos Tévez",25,"25,00 Mill. €",09/10,,"West Ham
 Premier League","Man City
 Premier League","29,00 Mill. €"
242,"Emmanuel Adebayor",25,"25,00 Mill. €",09/10,,"Arsenal
 Premier League","Man City
 Premier League","29,00 Mill. €"
243,"Yannick Bolasie",27,"14,00 Mill. €",16/17,,"Crystal Palace
 Premier League","Everton
 Premier League","28,90 Mill. €"
244,"David Silva",24,"32,00 Mill. €",10/11,,"Valencia
 LaLiga","Man City
 Premier League","28,75 Mill. €"
245,"Michael Keane",24,"18,00 Mill. €",17/18,,"Burnley
 Premier League","Everton
 Premier League","28,50 Mill. €"
246,"Jordan Pickford",23,"15,00 Mill. €",17/18,,"Sunderland
 Championship","Everton
 Premier League","28,50 Mill. €"
247,"Ruud van Nistelrooy",25,-,01/02,,"PSV Eindhoven
 Eredivisie","Man Utd
 Premier League","28,50 Mill. €"
248,"Antonio Cassano",18,-,01/02,,"Bari
 Serie B","AS Roma
 Serie A","28,50 Mill. €"
249,"Christian Vieri",25,-,98/99,,"Atlético Madrid
 LaLiga","Lazio
 Serie A","28,41 Mill. €"
250,"Lucas Moura",25,"28,00 Mill. €",17/18,,"Paris SG
 Ligue 1","Spurs
 Premier League","28,40 Mill. €"
