Name,Season,Rating,Age,Mean,Growth
Christian Maggio,2009,7.06,28,7.131666666666667,-0.019999999999999574
Christian Panucci,2009,6.82,37,6.82,0.0
Christian Poulsen,2009,6.66,30,6.796666666666667,-0.16999999999999993
Christian Schulz,2009,6.79,27,6.764285714285714,-0.15000000000000036
Christian Terlizzi,2009,6.9,30,6.9,0.0
Christian Träsch,2009,7.21,22,7.011666666666667,-0.3600000000000003
Christoph Dabrowski,2009,6.76,32,6.76,0.0
Christoph Moritz,2009,6.69,20,6.75,0.11999999999999922
Christoph Spycher,2009,6.52,32,6.52,0.0
Christophe Berra,2009,7.06,25,6.829999999999999,-0.4399999999999995
Christophe Jallet,2009,7.14,26,7.114999999999999,-0.46999999999999975
Christophe Landrin,2009,6.65,33,6.465,-0.3700000000000001
Christopher Samba,2009,7.55,26,7.145,-0.8899999999999997
Christopher Schorch,2009,6.77,21,6.77,0.0
Chung-Yong Lee,2009,7.0,21,6.965,-0.07000000000000028
Ciprian Marica,2009,7.03,24,6.83,-0.40000000000000036
Ciro Capuano,2009,6.98,28,6.955,-0.05000000000000071
Clarence Seedorf,2009,7.06,34,6.9799999999999995,-0.21999999999999975
Clarke Carlisle,2009,7.03,30,7.03,0.0
Claude Makelele,2009,6.82,37,6.800000000000001,-0.040000000000000036
Claudio Bellucci,2009,6.5,35,6.5,0.0
Claudio Marchisio,2009,6.86,24,7.161249999999999,0.0
Claudio Pizarro,2009,7.63,31,7.234,-1.12
Claudio Terzi,2009,6.98,26,6.9366666666666665,-0.28000000000000025
Clemens Fritz,2009,7.24,29,6.9875,-0.5200000000000005
Clint Dempsey,2009,7.21,27,7.130000000000001,-0.2699999999999996
Clément Chantôme,2009,6.55,22,6.916666666666667,0.4900000000000002
Colin Kazim-Richards,2009,6.56,23,6.82,-0.5200000000000005
Constant Djakpa,2009,6.8,23,6.9350000000000005,0.27000000000000046
Corona,2009,6.67,29,6.6225,-0.11000000000000032
Cote,2009,6.82,20,7.045000000000001,0.05999999999999961
Craig Bellamy,2009,7.2,30,6.8,-0.7000000000000002
Craig Fagan,2009,6.45,27,6.45,0.0
Craig Gardner,2009,6.86,23,6.853333333333333,-0.3200000000000003
Craig Gordon,2009,6.89,27,6.79,-0.1999999999999993
Cris,2009,7.47,33,7.1499999999999995,-0.4399999999999995
Cristian Brocchi,2009,6.91,34,6.760000000000001,-0.3100000000000005
Cristian Chivu,2009,6.97,29,6.966666666666666,-0.0699999999999994
Cristian Ledesma,2009,7.17,27,7.098000000000001,-0.34999999999999964
Cristian Llama,2009,7.05,24,7.05,0.0
Cristian Molinaro,2009,7.03,26,6.83,-0.5300000000000002
Cristian Raimondi,2009,6.92,29,6.9125,-0.17999999999999972
Cristian Zaccardo,2009,7.06,28,6.998,-0.0699999999999994
Cristian Zenoni,2009,6.44,33,6.44,0.0
Cristiano Del Grosso,2009,6.74,27,6.8,-0.03000000000000025
Cristiano Doni,2009,6.82,37,6.82,0.0
Cristiano Lucarelli,2009,6.74,34,6.74,0.0
Cristiano Ronaldo,2009,8.54,25,8.129000000000001,-0.8599999999999994
Cristiano Zanetti,2009,6.67,33,6.67,0.0
Cristián Zapata,2009,7.05,23,7.05,0.0
Cyriaque Louvion,2009,6.51,22,6.51,0.0
Cyril Jeunechamp,2009,6.84,34,6.845,0.009999999999999787
Cédric Carrasso,2009,6.76,28,6.7250000000000005,-0.04999999999999982
Cédric Mongongu,2009,6.79,21,6.738333333333333,-0.17999999999999972
César,2009,7.28,38,7.205,-0.15000000000000036
César Arzo,2009,6.93,24,6.93,0.0
César Azpilicueta,2009,7.04,20,7.112,-0.03000000000000025
César Delgado,2009,6.76,28,6.76,0.0
Cícero,2009,7.15,25,6.865,-0.5700000000000003
Daisuke Matsui,2009,6.97,29,6.97,0.0
Damiano Zenoni,2009,6.83,33,6.83,0.0
Damien Duff,2009,7.2,31,6.835,-0.5099999999999998
Damien Marcq,2009,6.87,21,6.74,-0.2599999999999998
Damien Perquis,2009,6.99,26,6.83,0.09999999999999964
Damián Macaluso,2009,6.6,30,6.6,0.0
Dani Alves,2009,7.85,27,7.3709999999999996,-0.5699999999999994
Daniel Agger,2009,7.1,25,6.984,-0.1299999999999999
Daniel Aranzubia,2009,6.87,30,6.853333333333333,-0.28000000000000025
Daniel Braaten,2009,6.7,28,6.6025,-0.2599999999999998
Daniel Congré,2009,6.95,25,6.962999999999999,-0.15000000000000036
Daniel Fox,2009,6.85,24,6.64,-0.41999999999999993
Daniel Kome,2009,6.63,30,6.63,0.0
Daniel Niculae,2009,6.99,27,6.816666666666666,-0.10000000000000053
Daniel Parejo,2009,6.77,21,7.1739999999999995,0.6300000000000008
Daniel Schwaab,2009,6.86,21,6.957777777777778,0.1200000000000001
Daniel Toribio,2009,6.73,21,6.73,0.0
Daniel Van Buyten,2009,7.2,32,7.162000000000001,-0.040000000000000036
Daniele Capelli,2009,6.79,24,6.609999999999999,-0.3600000000000003
Daniele Conti,2009,7.49,31,7.186666666666667,-0.8200000000000003
Daniele De Rossi,2009,7.48,26,7.103,-0.6800000000000006
Daniele Dessena,2009,6.67,23,6.6257142857142854,-0.28000000000000025
Daniele Ficagna,2009,6.63,29,6.63,0.0
Daniele Galloppa,2009,7.14,25,7.125,-0.02999999999999936
Daniele Gastaldello,2009,7.28,27,7.0685714285714285,-0.6000000000000005
Daniele Mannini,2009,6.81,26,6.663333333333333,-0.34999999999999964
Daniele Portanova,2009,6.88,31,7.002,0.3100000000000005
Danijel Ljuboja,2009,6.84,31,6.615,-0.4500000000000002
Danijel Pranjic,2009,6.77,28,6.8,0.0600000000000005
Danny Collins,2009,6.89,29,6.79,-0.1999999999999993
Danny Higginbotham,2009,6.86,31,6.86,0.0
Danny Murphy,2009,7.19,33,7.066666666666666,-0.2600000000000007
Dante,2009,6.97,26,7.006,-0.09999999999999964
Dany Nounkeu,2009,7.18,24,7.335,0.3100000000000005
Dario Dainelli,2009,6.87,31,6.992222222222221,-0.009999999999999787
Dario Knezevic,2009,7.02,28,7.02,0.0
Dariusz Dudka,2009,6.79,26,6.773333333333333,-0.08999999999999986
Darren Bent,2009,7.3,26,6.828,-1.0099999999999998
Darren Fletcher,2009,7.33,26,6.775000000000001,-0.8499999999999996
Dave Kitson,2009,6.73,30,6.73,0.0
David Albelda,2009,7.06,32,6.9575000000000005,-0.11999999999999922
David Barral,2009,6.65,27,6.806,0.05999999999999961
David Bentley,2009,7.19,25,7.19,0.0
David Cortés,2009,6.62,30,6.795,0.34999999999999964
David Ducourtioux,2009,6.99,32,6.663333333333333,-0.3100000000000005
David Dunn,2009,7.11,30,6.746666666666666,-0.4800000000000004
David Edwards,2009,6.46,24,6.556666666666666,0.08000000000000007
David Fuster,2009,6.57,28,6.57,0.0
David García,2009,6.94,29,6.802,-0.3200000000000003
David Hellebuyck,2009,6.81,31,6.81,0.0
David James,2009,6.61,39,6.61,0.0
David Jarolim,2009,7.3,31,7.096666666666667,-0.29000000000000004
David Jones,2009,6.59,25,6.595,0.1299999999999999
David N'Gog,2009,6.69,21,6.529999999999999,0.10999999999999943
David Navarro,2009,6.78,30,6.726666666666667,-0.35000000000000053
David Nugent,2009,6.62,25,6.6,-0.040000000000000036
David Ospina,2009,6.87,21,6.925714285714286,-0.3100000000000005
David Pizarro,2009,7.58,30,7.214,-0.7199999999999998
David Prieto,2009,6.6,27,6.6,0.0
David Rozehnal,2009,6.68,29,6.8340000000000005,0.1200000000000001
David Sauget,2009,6.89,30,6.784999999999999,-0.2999999999999998
David Silva,2009,7.34,24,7.3790000000000004,-0.08000000000000007
David Suazo,2009,6.66,30,6.66,0.0
David Trezeguet,2009,6.86,32,6.735,0.25
David Villa,2009,7.51,28,7.115,-0.6600000000000001
David de Gea,2009,6.75,19,6.7379999999999995,-0.23000000000000043
Davide Astori,2009,7.35,23,7.228888888888889,-0.27999999999999936
Davide Biondini,2009,6.7,27,6.59,-0.29000000000000004
Davide Lanzafame,2009,6.92,23,6.92,0.0
Davide Mandelli,2009,6.87,33,6.859999999999999,-0.020000000000000462
Davide Moro,2009,6.59,28,6.59,0.0
Dean Marney,2009,6.65,26,6.653333333333333,-0.08000000000000007
Dean Whitehead,2009,6.8,28,6.595,-0.3700000000000001
Deco,2009,7.43,32,7.43,0.0
Dede,2009,6.73,32,6.73,0.0
Dejan Stankovic,2009,7.06,31,7.013333333333333,-0.27999999999999936
Delvin N'Dinga,2009,6.69,22,6.656666666666667,-0.16000000000000014
Demba Ba,2009,7.08,25,6.965,-0.4800000000000004
Dennis Aogo,2009,6.91,23,6.7988888888888885,-0.39000000000000057
Dennis Diekmeier,2009,6.86,20,6.7562500000000005,-0.040000000000000036
Dennis Oliech,2009,6.74,25,6.713333333333334,0.040000000000000036
Denílson,2009,7.25,22,7.25,0.0
Derek Boateng,2009,6.93,27,7.0649999999999995,0.27000000000000046
Dickson Etuhu,2009,6.73,28,6.785,0.10999999999999943
Dida,2009,6.88,36,6.88,0.0
Didier Digard,2009,7.03,23,7.01,-0.04999999999999982
Didier Drogba,2009,8.32,32,7.566666666666667,-1.4900000000000002
Didier Ovono,2009,6.85,27,6.85,0.0
Didier Ya Konan,2009,7.01,26,6.925000000000001,-0.1200000000000001
Didier Zokora,2009,7.03,29,6.78,-0.5
Diego,2009,7.25,25,7.2625,-0.28000000000000025
Diego Alves,2009,7.19,25,6.866249999999999,-0.6400000000000006
Diego Benaglio,2009,6.94,26,6.673333333333334,-0.33000000000000007
Diego Camacho,2009,6.71,33,6.71,0.0
Diego Capel,2009,6.6,22,6.56,-0.08000000000000007
Diego Castro,2009,7.11,27,6.833333333333333,-0.45999999999999996
Diego Colotto,2009,7.0,29,6.970000000000001,-0.23000000000000043
Diego Costa,2009,6.93,21,7.031999999999999,0.4800000000000004
Diego De Ascentis,2009,6.63,33,6.63,0.0
Diego Forlán,2009,7.2,31,6.846666666666667,-0.5899999999999999
Diego Godín,2009,7.23,24,7.210000000000001,-0.25
Diego López,2009,6.7,28,6.787999999999999,-0.040000000000000036
Diego López,2009,7.03,35,6.787999999999999,-0.040000000000000036
Diego Milito,2009,7.47,31,7.077500000000001,-0.3700000000000001
Diego Perotti,2009,7.27,21,7.267499999999999,-0.14999999999999947
Diego Pérez,2009,7.05,30,6.964,-0.45999999999999996
Dimitar Berbatov,2009,7.41,29,7.0680000000000005,0.05999999999999961
Dimitri Payet,2009,6.98,23,7.30090909090909,0.5499999999999998
Diniyar Bilyaletdinov,2009,6.86,25,6.630000000000001,-0.45999999999999996
Dirk Kuyt,2009,7.08,29,7.108,-0.8200000000000003
Djamel Bakar,2009,6.46,21,6.5225,0.2400000000000002
Djimi Traore,2009,6.82,30,6.82,0.0
Dmytro Chygrynskiy,2009,6.62,23,6.62,0.0
Domenico Criscito,2009,7.29,23,7.303333333333334,-0.13999999999999968
Domingo Cisma,2009,6.91,28,6.8340000000000005,-0.16999999999999993
Dominic Maroh,2009,6.85,23,6.996,0.10000000000000053
Dorin Goian,2009,6.74,29,6.805,0.1299999999999999
Drissa Diakité,2009,6.91,25,6.597999999999999,-0.23000000000000043
Duda,2009,7.56,30,6.986,-1.0799999999999992
Dudu Aouate,2009,6.96,32,6.79,-0.33999999999999986
Dusan Basta,2009,7.08,25,6.947142857142858,-0.5200000000000005
Dídac Vilá,2009,7.22,21,7.031666666666666,-0.4299999999999997
Eden Hazard,2009,7.2,19,7.586,0.6099999999999994
Edgar Alvarez,2009,6.99,30,6.77,-0.4400000000000004
Edin Dzeko,2009,7.73,24,7.198,-0.4900000000000002
Edinson Cavani,2009,7.08,23,7.324999999999998,0.5300000000000002
Edmílson,2009,6.71,33,6.71,0.0
Eduardo,2009,6.45,29,6.571666666666666,-0.019999999999999574
Eduardo Costa,2009,6.8,27,6.8,0.0
Eduardo da Silva,2009,6.71,27,6.71,0.0
Edwin van der Sar,2009,7.04,39,6.85,-0.3799999999999999
El Hadji Diouf,2009,6.72,29,6.744999999999999,0.04999999999999982
Eliseu,2009,6.89,26,6.828,-0.23999999999999932
Eljero Elia,2009,7.37,23,7.151666666666666,0.3200000000000003
Elkin Soto,2009,6.97,29,7.0,-0.35999999999999943
Emanuel Rivas,2009,6.76,27,6.76,0.0
Emanuele Calaiò,2009,6.54,28,6.66,0.1200000000000001
Emerse Faé,2009,6.88,26,6.9,0.040000000000000036
Emerson Conceição,2009,6.65,24,6.745,0.1899999999999995
Emile Heskey,2009,6.71,32,6.580000000000001,-0.20000000000000018
Emiliano Armenteros,2009,6.66,24,7.095,0.25
Emiliano Insúa,2009,7.18,21,6.897999999999999,0.33000000000000007
Emiliano Moretti,2009,6.93,29,6.832222222222223,-0.2999999999999998
Emiliano Viviano,2009,7.01,24,6.847777777777778,-0.2999999999999998
